Bakery,Beverages,Dairy,Deli/Meat,FreshProduce,FrozenFoods,HealthAndWellness,HouseholdSupplies,PantryStaples,Snacks,SpecialtySections
0,0,1,0,1,0,0,1,1,1,0
0,0,0,0,1,0,0,1,1,1,0
1,1,1,0,0,1,0,0,0,0,0
0,0,1,1,0,1,0,1,1,1,0
1,1,1,1,0,1,0,0,1,1,0
0,1,0,1,1,1,0,1,1,0,0
0,1,1,1,1,1,0,1,1,0,0
0,1,0,0,0,1,0,1,1,1,0
0,1,1,1,1,0,0,0,0,1,0
0,0,1,0,1,0,0,0,0,1,0
1,1,1,1,1,1,0,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,0,1,0,1,1,1,0
0,1,1,0,0,1,0,1,1,1,0
0,1,1,1,1,1,0,1,1,1,0
1,0,0,0,0,0,1,1,0,1,0
1,1,1,0,1,1,0,1,1,1,0
0,1,1,1,1,1,1,0,0,1,0
0,1,1,1,1,1,0,1,1,1,0
1,1,1,1,0,1,0,1,1,1,0
0,0,0,0,0,0,0,1,1,1,0
1,1,1,0,0,1,0,1,1,1,0
0,1,1,1,1,1,0,1,1,1,0
0,1,1,1,0,1,0,1,1,1,0
1,1,1,0,1,1,0,0,0,1,0
1,1,1,1,0,1,0,1,1,1,0
0,0,1,1,1,1,0,1,1,0,0
0,1,0,0,0,0,0,0,1,1,0
1,0,1,1,1,1,0,1,1,1,0
1,0,1,0,0,0,0,1,1,1,0
0,0,1,1,1,0,0,1,1,1,0
0,1,0,1,0,0,0,1,1,1,0
0,1,0,1,1,0,1,1,1,0,0
0,1,1,1,0,1,0,1,0,0,0
0,1,1,0,1,1,0,1,0,0,0
1,1,1,0,0,0,0,1,1,1,0
0,1,1,0,1,1,0,0,0,1,0
1,1,0,0,0,0,0,0,1,1,0
1,0,1,0,0,0,0,0,1,1,0
1,1,1,0,0,0,0,0,1,1,0
1,1,1,1,0,1,1,1,1,1,0
1,1,1,1,0,1,0,0,1,1,0
0,1,1,1,0,1,0,0,0,1,0
1,0,1,1,1,1,0,1,1,1,0
1,1,1,0,0,0,0,0,0,1,0
1,0,1,1,0,0,0,1,1,1,0
1,1,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,1,1,1,0
0,1,1,0,0,0,0,0,1,1,0
1,1,1,0,0,1,1,0,0,1,0
0,0,0,1,1,1,0,0,1,0,0
0,0,1,1,1,1,0,0,1,0,0
0,1,1,0,0,0,0,1,0,1,0
1,0,1,1,0,0,1,1,1,1,1
0,0,1,1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1,0
1,1,1,0,0,1,0,1,1,1,1
1,1,1,1,0,1,0,0,1,1,0
0,1,0,1,1,0,0,1,0,1,0
0,0,1,1,1,1,0,1,0,1,0
1,1,0,1,1,1,0,0,0,1,0
0,0,1,1,1,0,0,0,1,0,0
1,0,1,0,0,0,0,0,1,1,0
0,1,0,0,1,1,0,0,1,0,0
1,1,1,1,1,1,0,1,1,1,0
0,0,0,1,0,0,0,0,1,1,0
1,1,0,0,1,0,0,0,1,1,0
0,1,0,1,0,1,0,0,0,1,0
0,1,1,0,0,1,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,1,0
0,1,0,1,1,1,0,0,1,0,1
0,1,1,1,0,0,0,0,0,0,0
1,1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,1,0,0,1,1,0
0,1,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,0,0,1,1,0
1,0,1,0,0,0,0,0,1,1,0
0,1,0,0,0,0,1,0,0,1,0
1,0,1,1,1,1,0,0,1,0,0
1,1,1,0,0,1,0,1,1,1,0
1,1,1,0,0,1,0,1,1,1,0
1,0,0,1,1,1,1,0,0,1,0
1,1,1,0,0,1,0,1,1,1,0
1,1,0,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,0
0,1,1,0,0,1,0,0,0,1,0
1,1,1,1,0,0,0,0,0,1,0
0,1,1,1,0,1,0,0,1,1,0
0,1,0,0,1,1,0,0,0,1,0
1,1,1,1,0,1,0,0,1,1,0
1,1,1,0,0,1,1,1,1,1,0
0,1,0,0,0,1,0,0,1,1,0
0,1,1,0,0,1,1,0,1,1,0
1,1,1,1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,0,0,1,1,0
1,1,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,1,0,0,0
